search_term,bls_n,bls_women,search_n,search_women,bls_p_women,search_p_women,Answer.typeofpeople,Answer.howmany,multiple_onegender,image_gender,image_url,source_url,order,search_provider
pilot,129000,5289,77,8,0.041,0.103896104,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/70.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=tF_-4_2Stj0AEM:&imgrefurl=http://www.getdomainvids.com/keyword/747%2520pilot/&docid=9CTi4pL5qswv8M&imgurl=http://www.pilotaptitude.com/images/content/iStock_unknown%252520pilot%2525201.jpg&w=493&h=638&ei=5yX3Ua63H83WiAL97oDYAQ&zoom=1&ved=1t:3588,r:70,s:0,i:307",70,google
plumber,534000,6942,85,4,0.013,0.047058824,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/70.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=RIeBR_Ict9iBBM:&imgrefurl=http://blogs.telegraph.co.uk/finance/ianmcowie/100019166/plumber-jailed-for-tax-evasion-as-hmrc-receipts-rise/&docid=xG_DxS-gaZJAmM&imgurl=http://blogs.telegraph.co.uk/finance/files/2012/07/PLUMBER-TAX.jpg&w=620&h=388&ei=RiL3UfHiIIm4igLK_4CICA&zoom=1&ved=1t:3588,r:70,s:0,i:307",70,google
police officer,657000,82782,72,10,0.126,0.138888889,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/70.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=tauOaqsXpmE3tM:&imgrefurl=http://www.kidopo.com/coloring-pages/occupation/police/police-officer/&docid=npZ4SBA63k0pqM&imgurl=http://www.kidopo.com/wp-content/uploads/2012/01/police-officer.gif&w=630&h=470&ei=KPv2UfG9FcWqigLgjYGwBQ&zoom=1&ved=1t:3588,r:70,s:0,i:308",70,google
receptionist,1237000,1131855,81,78,0.915,0.962962963,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/receptionist/70.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=lxDrCeXg13lPgM:&imgrefurl=http://www.123rf.com/photo_4624952_pretty-beautiful-middle-age-blond-woman-secretary-receptionist-successful-expression-senior-business.html&docid=s6urz40h48p3jM&imgurl=http://us.123rf.com/400wm/400/400/rjlerich/rjlerich0904/rjlerich090400066/4624952-pretty-beautiful-middle-age-blond-woman-secretary-receptionist-successful-expression-senior-business.jpg&w=798&h=1200&ei=qR33UdzSF-OZiQLnrID4AQ&zoom=1&ved=1t:3588,r:70,s:0,i:308",70,google
roofer,196000,2940,74,0,0.015,0,man,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/roofer/70.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=lN4FZEffPwfoYM:&imgrefurl=https://plus.google.com/111345983200330938901&docid=Zq_FDCnXNQ2-eM&imgurl=https://lh5.googleusercontent.com/-VaI6Zv_aFik/UT2hiWVOPnI/AAAAAAAAAC0/_qPMmCgz904/w800-h800/roofer6.307140510_std.jpg&w=800&h=530&ei=tyL3UfmPKIreigLn14CoBw&zoom=1&ved=1t:3588,r:70,s:0,i:308",70,google
security guard,903000,167055,95,5,0.185,0.052631579,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/70.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=j7HPrGqLv9aUQM:&imgrefurl=http://pursuitmag.com/defending-the-defender-inadequate-and-negligent-security-investigations/&docid=-anNYhXxnEy8dM&imgurl=http://pursuitmag.com/wp-content/uploads/2009/09/security-guard.jpg&w=283&h=424&ei=7Pv2UZmcKeGaiALr0oHADQ&zoom=1&ved=1t:3588,r:70,s:0,i:308",70,google
special ed teacher,366000,315492,86,67,0.862,0.779069767,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/70.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=bFTkbCK3-PVTeM:&imgrefurl=http://www.examiner.com/article/father-terrorism-beheading-plot-prime-suspect-a-respected-special-ed-teacher&docid=l2gBv2vjbFeQYM&imgurl=http://cdn2-b.examiner.com/sites/default/files/styles/image_content_width/hash/9a/13/article-0-11951CCA000005DC-302_233x354.jpg%253Fitok%253D_0-HTWFF&w=230&h=350&ei=lu_2UeT4N4mdiQKQ1ICICg&zoom=1&ved=1t:3588,r:70,s:0,i:308",70,google
technical writer,58000,32190,40,14,0.555,0.35,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/70.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=qo3LD7zw-x8nbM:&imgrefurl=http://www.writingthoughts.com/how-to-break-into-technical-writing/&docid=9Ie_YhdXOBllqM&imgurl=http://www.writingthoughts.com/wp-content/uploads/2010/10/technicalwriter.jpg&w=220&h=190&ei=q_L2UYWOJoeUiQKKz4CgDQ&zoom=1&ved=1t:3588,r:70,s:0,i:308",70,google
telemarketer,97000,48791,90,58,0.503,0.644444444,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/70.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=u3ql7ntXej4e_M:&imgrefurl=http://theblackcentipede.blogspot.com/2011/11/black-centipedes-oddio-audity-of-day.html&docid=3ODNNT2ggMStsM&imgurl=http://3.bp.blogspot.com/-NrdU1V_pvhY/TsnpkXi2c2I/AAAAAAAARvo/OultA2jdhSc/s1600/telemarketer-pic-dec-2008.jpg&w=1600&h=1338&ei=4xv3UY-ACKerigL3soGYBg&zoom=1&ved=1t:3588,r:70,s:0,i:308",70,google
truck driver,3201000,172854,72,5,0.054,0.069444444,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/truck driver/70.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=u9ZN7hXDUfyzBM:&imgrefurl=http://blog.gordontrucking.com/bid/85580/Being-a-Professional-Truck-Driver&docid=WqILfux4K26XyM&imgurl=http://blog.gordontrucking.com/Portals/111037/images/professional-truck-driver.jpg&w=350&h=233&ei=ZCf3UfLKMsaQigLD-oHQCA&zoom=1&ved=1t:3588,r:70,s:0,i:307",70,google
welder,593000,28464,26,2,0.048,0.076923077,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/welder/70.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=ijM1CZNf0vD_lM:&imgrefurl=http://depositphotos.com/7932340/stock-photo-Welder-welding-at-work-retro-style.html&docid=SdbzYoWmk2ytfM&imgurl=http://static7.depositphotos.com/1006018/793/i/950/depositphotos_7932340-Welder-welding-at-work-retro-style.jpg&w=950&h=950&ei=XiX3UZbcMsnWiwLK0YGYBg&zoom=1&ved=1t:3588,r:70,s:0,i:308",70,google
administrative assistant,2904000,2767512,78,72,0.953,0.923076923,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=qIEh-2i_5TMF9M:&imgrefurl=http://asylumaccess.org/AsylumAccess/team/staff/rashid-h-nyembo&docid=-4oz-NHTk-KLQM&imgurl=http://asylumaccess.org/AsylumAccess/wp-content/uploads/2011/08/rashid.jpg&w=1056&h=1386&ei=Ih_3UYP7DuKaiAL18oHIBg&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
announcer,50000,11800,86,18,0.236,0.209302326,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=Ph0lQnZ7eXMVVM:&imgrefurl=http://vector-images.com/clipart.php%3Fid%3D12888&docid=4h9VJaCMs_elQM&imgurl=http://images.vector-images.com/clipart/xl/176/announcer3.jpg&w=300&h=290&ei=2PD2UZG8BOmciAKDl4GwBw&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
author,208000,115648,65,16,0.556,0.246153846,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=CeNzcmR9zITTaM:&imgrefurl=http://www.lbcobb.com/&docid=09tEc3qlxSwpIM&imgurl=http://www.lbcobb.com/images/lbcobb.jpg&w=900&h=1200&ei=KfP2UeztNM7ligKIroH4Cw&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
bartender,412000,246788,94,22,0.599,0.234042553,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=lVBTktUIXqxMZM:&imgrefurl=http://onthehouse.typepad.com/on_the_house/2006/08/&docid=mFWLvPQrU5-1XM&imgurl=http://onthehouse.typepad.com/photos/uncategorized/bartender_004.jpg&w=800&h=1120&ei=gv32UdrYJ8iWiALjt4DoCA&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
building inspector,118000,9204,59,4,0.078,0.06779661,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=VEdlCbnQcv37YM:&imgrefurl=http://work.chron.com/building-inspector-qualifications-12692.html&docid=zUOCos3KtFw3dM&imgurl=http://work.chron.com/DM-Resize/photos.demandstudios.com/getty/article/88/252/78327777.jpg%253Fw%253D600%2526h%253D600%2526keep_ratio%253D1&w=600&h=399&ei=aCP3UYqYFMixiwKk_YCgBw&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
chef,403000,86645,91,22,0.215,0.241758242,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=DDEUfOo8molp-M:&imgrefurl=http://www.nuvo.net/nuvo/nourish-cafes-new-chef/Content%3Foid%3D1273474&docid=kzUzCKBF5m_nFM&imgurl=http://www.nuvo.net/imager/nourish-cafe-new-chef-new-focus/b/original/1318649/4ae8/TY_HUNT_-_EXEC._CHEF_IMA_9.JPG&w=1080&h=1620&ei=wvz2UbaoNq3biwL-l4GoCg&zoom=1&ved=1t:3588,r:71,s:0,i:310",71,google
chemist,105000,46410,77,41,0.442,0.532467532,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=Q3p7NxGrJN0MOM:&imgrefurl=http://www.dreamstime.com/royalty-free-stock-photos-young-female-chemist-doing-some-research-isolated-image15571878&docid=8Q7BzJ1RTarhOM&imgurl=http://thumbs.dreamstime.com/z/young-female-chemist-doing-some-research-isolated-15571878.jpg&w=800&h=534&ei=g-v2UdnVFur6igKKjICYBg&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
chief executive officer,1513000,414562,98,11,0.274,0.112244898,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=zuOjwXbo5lr8kM:&imgrefurl=http://www.kurzweilai.net/alcor-life-extension-foundation-names-max-more-phd-as-chief-executive-officer&docid=95aqW-LMZz3ZPM&imgurl=http://www.kurzweilai.net/images/Max-More-CEO.jpg&w=428&h=583&ei=knnzUazNDoe9igK784C4Aw&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
construction worker,1387000,40223,88,11,0.029,0.125,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=x8oReSIHOsDPdM:&imgrefurl=http://commons.wikimedia.org/wiki/File:FEMA_-_33133_-_Construction_worker_working_on_the_Pass_Christian,_MS_sewer_project.jpg&docid=tuWXeJPMagjZWM&imgurl=http://upload.wikimedia.org/wikipedia/commons/e/e2/FEMA_-_33133_-_Construction_worker_working_on_the_Pass_Christian,_MS_sewer_project.jpg&w=3872&h=2592&ei=riD3Ud-oGM7ligKIroH4Cw&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
cook,1970000,742690,78,11,0.377,0.141025641,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=eWoBjnkruZG5XM:&imgrefurl=http://www.vectorstock.com/royalty-free-vector/dish-and-cook-vector-495041&docid=FaYZDA4cNRs2rM&imgurl=http://cdn.vectorstock.com/i/composite/50,41/dish-and-cook-vector-495041.jpg&w=380&h=400&ei=Hf32UeuCJ6iCiwK30oAY&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
custodian,2205000,654885,64,10,0.297,0.15625,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=iB5fb9VfkOKTzM:&imgrefurl=http://sneakernews.com/2009/05/20/nike-sb-dunk-hi-wet-floor-custodian-pack/&docid=g3T1cPFHKhisWM&imgurl=http://images.sneakernews.com/wp-content/uploads/2009/05/nike-sb-dunk-hi-custodian-pack-2-570x380.jpg&w=570&h=380&ei=fBX3Ub2jJ-WriAKmuIGwAw&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
customer service representative,1956000,1326168,80,55,0.678,0.6875,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=AP71sKJKR7ERtM:&imgrefurl=http://www.geraldbodyshop.com/faq&docid=gffjJTGX62m5LM&imgurl=http://www.geraldbodyshop.com/sites/all/themes/geraldBodyshop/images/service_appt.jpg&w=349&h=344&ei=Mx33Ud-xAYPTiwLcz4DICw&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
doctor,911000,312473,83,25,0.343,0.301204819,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=hRcbMsNQWwoHfM:&imgrefurl=http://anurturingmoment.blogspot.com/2011/12/5-steps-to-choosing-your-babys-doctor.html&docid=D6lBxqrRnaV4GM&imgurl=http://3.bp.blogspot.com/-XJl1V4bmtpk/Ttmek7t3ZkI/AAAAAAAAAFA/bBkCWK88-JA/s1600/Kozzi-smiling-young-doctor-1255x1672%252B%252525281%25252529.jpg&w=1201&h=1600&ei=rvX2UcPGCejUiwLtvICACA&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
electrician,692000,12456,75,3,0.018,0.04,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/electrician/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=vUTGM4XU-ykEiM:&imgrefurl=http://commons.wikimedia.org/wiki/File:Electrician%27s_Mate.jpg&docid=cdh90vhJ38YqhM&imgurl=http://upload.wikimedia.org/wikipedia/commons/7/79/Electrician%2527s_Mate.jpg&w=3677&h=2788&ei=OSH3Uf2TN4iTiQLOu4DoAQ&zoom=1&ved=1t:3588,r:71,s:0,i:302",71,google
housekeeper,1457000,1283617,82,76,0.881,0.926829268,woman,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=9Mg2Z_B_mW-qvM:&imgrefurl=http://www.shutterstock.com/pic-70312114/stock-vector-housekeeper.html&docid=XRc3BHAckmSJaM&imgurl=http://image.shutterstock.com/display_pic_with_logo/731134/731134,1296646498,24/stock-vector-housekeeper-70312114.jpg&w=450&h=273&ei=5RX3UbSdFsybjALYjoD4Cw&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
insurance sales agent,540000,238140,84,40,0.441,0.476190476,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=1iM1cIqRPR1V3M:&imgrefurl=http://www.linkedin.com/title/agent/at-tz-insurance-solutions&docid=wr0zMs_UbB1TRM&imgurl=http://m.c.lnkd.licdn.com/mpr/mpr/shrink_80_80/p/1/000/01f/0c1/0867441.jpg&w=80&h=80&ei=Jhr3Uc6JEsj1igKq_4GwCQ&zoom=1&ved=1t:3588,r:71,s:0,i:308",71,google
lab tech,319000,232232,86,56,0.728,0.651162791,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=3VJvhi6bxrlb9M:&imgrefurl=http://www.newsday.com/long-island/raymond-clark-yale-lab-tech-in-custody-in-annie-le-slay-1.1449054&docid=RlYVl-9raRXUvM&imgurl=http://cdn.newsday.com/polopoly_fs/1.1451384.1278890361!/image/2232723503.jpg_gen/derivatives/display_600/2232723503.jpg&w=440&h=400&ei=wPf2UbCkCYjviQLUk4HoCA&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
mail carrier,318000,119886,73,21,0.377,0.287671233,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=k76KV8SkMyrvZM:&imgrefurl=http://lonestarvarsity.com/national-news/2011-12-06/first-class-mail-will-be-just-little-bit-slower&docid=odzZpSt9fUovTM&imgurl=http://lub-cdn.com/sites/default/files/imagecache/superphoto/10727825.jpg&w=600&h=434&ei=mB73UbGzL4miiQKtuoD4Aw&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
nurse,2875000,2604750,89,86,0.906,0.966292135,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=Hlww8IIbrwICtM:&imgrefurl=http://www.123rf.com/photo_11224435_medical-people-woman-nurse-showing-thumbs-up-success-sign-smiling-happy-and-successful-at-camera-bea.html&docid=N8JTt2w_U-ZarM&imgurl=http://us.123rf.com/400wm/400/400/maridav/maridav1111/maridav111100007/11224435-medical-people-woman-nurse-showing-thumbs-up-success-sign-smiling-happy-and-successful-at-camera-bea.jpg&w=801&h=1200&ei=_fb2UYywBeSQiAKv1oCIDw&zoom=1&ved=1t:3588,r:71,s:0,i:310",71,google
nurse practitioner,103000,88683,78,66,0.861,0.846153846,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=nHFvUIuQRFw97M:&imgrefurl=http://www.regiscollege.edu/graduate_programs/department.cfm%3Fid%3DNurse_Practitioner&docid=yHk2yTUrSjyApM&imgurl=http://www.regiscollege.edu/imageassets/8%252520nurse_practitioner.jpg&w=658&h=210&ei=Vff2UdjYI8GviQKi1oFA&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
optician,54000,32184,70,48,0.596,0.685714286,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=Z6watTJGJhtoRM:&imgrefurl=http://www.shutterstock.com/pic-115877869/stock-photo-young-attractive-smiling-woman-at-optician-with-glasses-background-in-optician-shop.html&docid=nwnWEuZoHjWwRM&imgurl=http://image.shutterstock.com/display_pic_with_logo/67845/115877869/stock-photo-young-attractive-smiling-woman-at-optician-with-glasses-background-in-optician-shop-115877869.jpg&w=450&h=320&ei=T_n2UcilH8OjiALWlYGYBw&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
pilot,129000,5289,77,8,0.041,0.103896104,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/pilot/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=g5vyUdsFLDCH_M:&imgrefurl=http://www.nydailynews.com/news/national/sullenberger-slams-proposal-reduce-pilots-cockpit-article-1.1364299&docid=2KjyaWpH8g-ziM&imgurl=http://assets.nydailynews.com/polopoly_fs/1.1364298.1370469803!/img/httpImage/image.jpg_gen/derivatives/landscape_635/pilot6n-1-web.jpg&w=635&h=422&ei=5yX3Ua63H83WiAL97oDYAQ&zoom=1&ved=1t:3588,r:71,s:0,i:310",71,google
plumber,534000,6942,85,4,0.013,0.047058824,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/plumber/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=JuHaA_ow1xTQxM:&imgrefurl=http://www.dreamstime.com/royalty-free-stock-photography-vector-illustration-happy-plumber-image28725517&docid=qBDrLqXJds6ROM&imgurl=http://thumbs.dreamstime.com/z/vector-illustration-happy-plumber-28725517.jpg&w=652&h=900&ei=RiL3UfHiIIm4igLK_4CICA&zoom=1&ved=1t:3588,r:71,s:0,i:310",71,google
primary school teacher,2838000,2310132,78,56,0.814,0.717948718,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/primary school teacher/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=5FE01bA3gLbhBM:&imgrefurl=http://www.telegraph.co.uk/news/uknews/5451907/Primary-school-teacher-collapses-and-dies-after-bullying-at-work.html&docid=Fl9KWYZtyHwTFM&imgurl=http://i.telegraph.co.uk/multimedia/archive/01417/britt_1417891c.jpg&w=460&h=288&ei=Z-72UbfJKub6igL83YDgAw&zoom=1&ved=1t:3588,r:71,s:0,i:302",71,google
receptionist,1237000,1131855,81,78,0.915,0.962962963,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/receptionist/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=SXBBgg41eSd-4M:&imgrefurl=http://www.theinvolverblog.com/2009/07/15/the-brand-builder-in-your-lobby/&docid=3tu0B110bpBYOM&imgurl=http://www.theinvolverblog.com/wp-content/uploads/2009/07/receptionist11.jpg&w=500&h=334&ei=qR33UdzSF-OZiQLnrID4AQ&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
security guard,903000,167055,95,5,0.185,0.052631579,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=XVf-rEPJPgXfNM:&imgrefurl=http://commons.wikimedia.org/wiki/File:Coco-park-security-guard.jpeg&docid=Fga0hB2Fv2cBYM&imgurl=http://upload.wikimedia.org/wikipedia/commons/e/ef/Coco-park-security-guard.jpeg&w=750&h=500&ei=7Pv2UZmcKeGaiALr0oHADQ&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
software developer,1084000,213548,81,12,0.197,0.148148148,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/software developer/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=CoBL3jsfPRpGWM:&imgrefurl=http://www.wctc.edu/programs-and-courses/business/web-software-developer/index.php&docid=tSVXwEbxJRqADM&imgurl=http://www.wctc.edu/images/video-thumbnails/web-software-developer.png&w=235&h=145&ei=lND2UemQFqOtigLA2YH4Bw&zoom=1&ved=1t:3588,r:71,s:0,i:310",71,google
special ed teacher,366000,315492,86,67,0.862,0.779069767,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=dnaKDtOFj3KhjM:&imgrefurl=http://bangordailynews.com/2011/10/11/news/police-beat/maine-special-ed-teacher-accused-of-sleeping-with-teen-giving-him-drugs/&docid=ZfDLiJs8sxSHUM&imgurl=http://bdnpull.bangorpublishing.netdna-cdn.com/wp-content/uploads/2012/07/10027861_H8078617-250x250.jpg%253Fref%253DrelatedBox&w=250&h=250&ei=lu_2UeT4N4mdiQKQ1ICICg&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
telemarketer,97000,48791,90,58,0.503,0.644444444,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=ToV2vTTDALYNTM:&imgrefurl=http://ahacreative.com/top-3-lessons-a-bad-telemarketer-taught-me-about-communications/&docid=NKVS5-HX2kRc0M&imgurl=http://ahacreative.com/wp/wp-content/uploads/Telemarketer.jpg&w=320&h=480&ei=4xv3UY-ACKerigL3soGYBg&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
welder,593000,28464,26,2,0.048,0.076923077,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/welder/71.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=fQ8BpXUK1ZLdMM:&imgrefurl=http://www.123rf.com/photo_14747623_the-muscular-worker-welder-man-weld-electric-arc-weld-on-netting-fence-background.html&docid=MaaGcEOs5Q0QdM&imgurl=http://us.123rf.com/400wm/400/400/tankist276/tankist2761208/tankist276120800024/14747623-the-muscular-worker-welder-man-weld-electric-arc-weld-on-netting-fence-background.jpg&w=963&h=1200&ei=XiX3UZbcMsnWiwLK0YGYBg&zoom=1&ved=1t:3588,r:71,s:0,i:311",71,google
author,208000,115648,65,16,0.556,0.246153846,man,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/72.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=pmq3MXjN5uKOdM:&imgrefurl=http://jetaany.org/authors/&docid=hw5EsjXfpmRRBM&imgurl=http://jetaany.org/documents/jet_author_poster_2.jpg&w=850&h=1100&ei=KfP2UeztNM7ligKIroH4Cw&zoom=1&ved=1t:3588,r:72,s:0,i:314",72,google
bartender,412000,246788,94,22,0.599,0.234042553,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/72.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=nKg-zceAJdxBOM:&imgrefurl=http://www.123rf.com/photo_3466452_a-young-female-bartender-photographed-at-work.html&docid=UD3GuZWO39Hd2M&imgurl=http://us.123rf.com/400wm/400/400/dimafoto/dimafoto0808/dimafoto080800123/3466452-a-young-female-bartender-photographed-at-work.jpg&w=801&h=1200&ei=gv32UdrYJ8iWiALjt4DoCA&zoom=1&ved=1t:3588,r:72,s:0,i:314",72,google
butcher,311000,71530,63,5,0.23,0.079365079,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/72.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=TsmWzvyG7Y_IDM:&imgrefurl=http://www.scaryforkids.com/butcher-shop/&docid=ppHyCPiMbfPA5M&imgurl=http://www.scaryforkids.com/pics/butcher-shop.jpg&w=400&h=300&ei=ViT3UaCFHrHZigK134HwAw&zoom=1&ved=1t:3588,r:72,s:0,i:313",72,google
